	RevName	cal_spm_max	cal_spm_min	dlp_rho_max	dlp_rho_min	dlp_spm_max	dlp_spm_min	dlp_timing_offset	geo_spm_max	geo_spm_min	kernels	rsr_16khz_list	tau_resolution	tau_rho_max	tau_rho_min	tau_spm_max	tau_spm_min
14	Rev007I_RSS_2005_123_X43_I	20700	12750	145005	71989.75	20669.3564	14821.9174	-0.0166	24000	9001	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0108/sroc1_123/rsr/s10sroi2005123_0230nnnx43rd.2a2']	01KM	144998.75	72001.25	20668.4711	14822.4607
15	Rev007I_RSS_2005_123_X43_I	20700	12750	145005	71989.75	20669.3564	14821.9174	-0.0166	24000	9001	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0108/sroc1_123/rsr/s10sroi2005123_0230nnnx43rd.2a2']	10KM	144987.5	72012.5	20667.6051	14823.4386
16	Rev008E_RSS_2005_141_K55_E	58050	47010	145001.75	73475.5	52450.2123	47010.4707	0.0919	58078	44460	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0109/sroc1_141/rsr/s11sroe2005141_1221nnnk55rd.2b2']	01KM	144998.75	73560.25	52449.9807	47016.8806
17	Rev008E_RSS_2005_141_K55_E	58050	47010	145001.75	73475.5	52450.2123	47010.4707	0.0919	58078	44460	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0109/sroc1_141/rsr/s11sroe2005141_1221nnnk55rd.2b2']	10KM	144987.5	73570	52449.1123	47017.618
18	Rev008E_RSS_2005_141_S63_E	58050	47010	145073.25	73504.5	52455.7317	47012.6641	0.0919	58078	44883	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0109/sroc1_141/rsr/s11sroe2005141_1221nnns63rd.1b2']	01KM	144998.75	74712	52449.9807	47103.974
19	Rev008E_RSS_2005_141_S63_E	58050	47010	145073.25	73504.5	52455.7317	47012.6641	0.0919	58078	44883	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0109/sroc1_141/rsr/s11sroe2005141_1221nnns63rd.1b2']	10KM	144987.5	74722.5	52449.1123	47104.7678
20	Rev008E_RSS_2005_141_X55_E	58050	47010	145017.25	73481.75	52451.4088	47010.9434	0.0919	58078	44460	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0109/sroc1_141/rsr/s11sroe2005141_1221nnnx55rd.2a2']	01KM	144998.75	73810.75	52449.9807	47035.8255
21	Rev008E_RSS_2005_141_X55_E	58050	47010	145017.25	73481.75	52451.4088	47010.9434	0.0919	58078	44460	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0109/sroc1_141/rsr/s11sroe2005141_1221nnnx55rd.2a2']	10KM	144987.5	73820	52449.1123	47036.525
22	Rev008E_RSS_2005_141_X63_E	58050	47010	145017.25	73481.75	52451.4088	47010.9434	0.0919	58078	44883	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	"['no 16khz, 1khz:S11SROE2005141_1228NNNX63RD.1A1']"	01KM	144998.75	73810.75	52449.9807	47035.8255
23	Rev008E_RSS_2005_141_X63_E	58050	47010	145017.25	73481.75	52451.4088	47010.9434	0.0919	58078	44883	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	"['no 16khz, 1khz:S11SROE2005141_1228NNNX63RD.1A1']"	10KM	144987.5	73820	52449.1123	47036.525
