rsr_filename,snr0 (dBHz)
co-s-rss-1-sroc2-v10/cors_0729/SROC2_248/RSR/S14SROI2005248_1323NNNX14RD.2A1, 54.0461
co-s-rss-1-sroc2-v10/cors_0729/SROC2_248/RSR/S14SROI2005248_1323NNNX25RD.1A1, 48.1862
co-s-rss-1-sroc3-v10/cors_0734/SROC3_258/RSR/S23SROI2006258_1924NNNK34RD.2B1, 45.8667
co-s-rss-1-sroc3-v10/cors_0734/SROC3_258/RSR/S23SROI2006258_1924NNNS43RD.1B1, 38.7398
co-s-rss-1-sroc3-v10/cors_0734/SROC3_258/RSR/S23SROI2006258_1924NNNX34RD.2A1, 43.0444
co-s-rss-1-sroc3-v10/cors_0734/SROC3_258/RSR/S23SROI2006258_1924NNNX43RD.1A1, 46.8993
co-s-rss-1-sroc3-v10/cors_0734/SROC3_258/RSR/S23SROI2006259_0015NNNK34RD.2B1, 42.6460
co-s-rss-1-sroc3-v10/cors_0734/SROC3_258/RSR/S23SROI2006259_0015NNNS43RD.1B1, 39.3804
co-s-rss-1-sroc3-v10/cors_0734/SROC3_258/RSR/S23SROI2006259_0015NNNX34RD.2A1, 42.7901
co-s-rss-1-sroc3-v10/cors_0734/SROC3_258/RSR/S23SROI2006259_0015NNNX43RD.1A1, 45.4853
co-s-rss-1-sroc4-v10/cors_0736/SROC4_130/RSR/S30SROE2007130_1715NNNK55RD.2B1, 49.4478
co-s-rss-1-sroc4-v10/cors_0736/SROC4_130/RSR/S30SROE2007130_1715NNNS63RD.1B1, 37.7018
co-s-rss-1-sroc4-v10/cors_0736/SROC4_130/RSR/S30SROE2007130_1715NNNX55RD.2A1, 49.5125
co-s-rss-1-sroc4-v10/cors_0736/SROC4_130/RSR/S30SROE2007130_1715NNNX63RD.1A1, 54.8492
co-s-rss-1-sroc4-v10/cors_0736/SROC4_162/RSR/S31SROI2007162_1915NNNK25RD.2B1, 48.4595
co-s-rss-1-sroc4-v10/cors_0736/SROC4_162/RSR/S31SROI2007162_1915NNNS14RD.3B1, 42.1275
co-s-rss-1-sroc4-v10/cors_0736/SROC4_162/RSR/S31SROI2007162_1915NNNX14RD.3A1, 55.1122
co-s-rss-1-sroc4-v10/cors_0736/SROC4_162/RSR/S31SROI2007162_1915NNNX25RD.2A1, 48.4132
co-s-rss-1-sroc5-v10/cors_0740/SROC5_337/RSR/S35SROI2007337_0530NNNK55RD.2B1, 49.4456
co-s-rss-1-sroc5-v10/cors_0740/SROC5_337/RSR/S35SROI2007337_0530NNNS63RD.1B1, 42.2171
co-s-rss-1-sroc5-v10/cors_0740/SROC5_337/RSR/S35SROI2007337_0530NNNX55RD.2A1, 49.2507
co-s-rss-1-sroc5-v10/cors_0740/SROC5_337/RSR/S35SROI2007337_0530NNNX63RD.1A1, 55.5640
co-s-rss-1-sroc5-v10/cors_0740/SROC5_353/RSR/S36SROI2007353_0220NNNK55RD.2B1, 48.3842
co-s-rss-1-sroc5-v10/cors_0740/SROC5_353/RSR/S36SROI2007353_0220NNNS63RD.1B1, 44.5398
co-s-rss-1-sroc5-v10/cors_0740/SROC5_353/RSR/S36SROI2007353_0220NNNX55RD.2A1, 49.0542
co-s-rss-1-sroc5-v10/cors_0740/SROC5_353/RSR/S36SROI2007353_0220NNNX63RD.1A1, 55.5426
co-s-rss-1-sroc6-v10/cors_0741/SROC6_015/RSR/S36SROI2008015_1915NNNK34RD.1B1, 47.5578
co-s-rss-1-sroc6-v10/cors_0741/SROC6_015/RSR/S36SROI2008015_2105NNNS63RD.1B1, 41.2368
co-s-rss-1-sroc6-v10/cors_0741/SROC6_015/RSR/S36SROI2008015_1915NNNX34RD.1A1, 49.3297
co-s-rss-1-sroc6-v10/cors_0741/SROC6_015/RSR/S36SROI2008015_2105NNNX63RD.1A1, 50.6776
co-s-rss-1-sroc6-v10/cors_0741/SROC6_027/RSR/S37SROI2008027_1815NNNK34RD.2B1, 48.6257
co-s-rss-1-sroc6-v10/cors_0741/SROC6_027/RSR/S37SROI2008027_1815NNNS43RD.1B1, 44.7661
co-s-rss-1-sroc6-v10/cors_0741/SROC6_027/RSR/S37SROI2008027_1815NNNX34RD.2A1, 49.9463
co-s-rss-1-sroc6-v10/cors_0741/SROC6_027/RSR/S37SROI2008027_1815NNNX43RD.1A1, 55.8850
co-s-rss-1-sroc6-v10/cors_0741/SROC6_039/RSR/S37SROI2008039_1635NNNK34RD.2B1, 49.1467
co-s-rss-1-sroc6-v10/cors_0741/SROC6_039/RSR/S37SROI2008039_1635NNNS43RD.1B1, 44.9364
co-s-rss-1-sroc6-v10/cors_0741/SROC6_039/RSR/S37SROI2008039_1635NNNX34RD.2A1, 49.9772
co-s-rss-1-sroc6-v10/cors_0741/SROC6_039/RSR/S37SROI2008039_1635NNNX43RD.1A1, 55.7978
co-s-rss-1-sroc6-v10/cors_0741/SROC6_062/RSR/S38SROI2008062_0304NNNK26RD.1B1, 49.0360
co-s-rss-1-sroc6-v10/cors_0741/SROC6_062/RSR/S38SROI2008062_0304NNNS14RD.3B1, 44.6177
co-s-rss-1-sroc6-v10/cors_0741/SROC6_062/RSR/S38SROI2008062_0304NNNX14RD.3A1, 54.4047
co-s-rss-1-sroc6-v10/cors_0741/SROC6_062/RSR/S38SROI2008062_0304NNNX26RD.1A1, 48.1840
co-s-rss-1-sroc7-v10/cors_0742/SROC7_092/RSR/S39SROI2008092_1700NNNK55RD.2B1, 49.5387
co-s-rss-1-sroc7-v10/cors_0742/SROC7_092/RSR/S39SROI2008092_1700NNNS63RD.1B1, 43.7778
co-s-rss-1-sroc7-v10/cors_0742/SROC7_092/RSR/S39SROI2008092_1700NNNX55RD.2A1, 50.0642
co-s-rss-1-sroc7-v10/cors_0742/SROC7_092/RSR/S39SROI2008092_1700NNNX63RD.1A1, 56.5900
co-s-rss-1-sroc7-v10/cors_0742/SROC7_102/RSR/S39SROI2008102_0730NNNK25RD.1B1, 48.1831
co-s-rss-1-sroc7-v10/cors_0742/SROC7_102/RSR/S39SROI2008102_0730NNNS43RV.1N1, 43.2232
co-s-rss-1-sroc7-v10/cors_0742/SROC7_102/RSR/S39SROI2008102_0730NNNX25RD.1A1, 48.1789
co-s-rss-1-sroc7-v10/cors_0742/SROC7_102/RSR/S39SROI2008102_0730NNNX43RV.1N1, 54.6087
co-s-rss-1-sroc7-v10/cors_0743/SROC7_130/RSR/S40SROI2008130_2218NNNK25RD.1B1, 49.0859
co-s-rss-1-sroc7-v10/cors_0743/SROC7_130/RSR/S40SROI2008130_2218NNNS14RD.3B1, 44.2429
co-s-rss-1-sroc7-v10/cors_0743/SROC7_130/RSR/S40SROI2008130_2218NNNX14RD.3A1, 53.9702
